maticni_broj;naziv;lat;lon
300012;BARANJSKO PETROVO SELO;45.7315832;18.4575582
300039;BATINA;45.8376528;18.8561005
300047;BELI MANASTIR;45.7499759;18.6085097
300055;BILJE;45.5970014;18.725775
300063;BOLMAN;45.7077151;18.5161565
300071;BRANJIN VRH;45.8237966;18.6259343
300080;BRANJINA;45.8323943;18.6951175
300098;ČEMINAC;45.6866335;18.6609238
300101;DARDA;45.6238166;18.6476805
300110;DRAŽ;45.8698456;18.8178392
300128;DUBOŠEVICA;45.8943821;18.6853203
300136;GAJIĆ;45.8356896;18.7551239
300144;GRABOVAC;45.7022431;18.7268789
300152;JAGODNJAK;45.6845122;18.5767349
300179;KAMENAC;45.7738133;18.7025829
300187;KARANAC;45.7517445;18.6706576
300195;KNEŽEVI VINOGRADI;45.7329975;18.8250773
300209;KOPAČEVO;45.6054717;18.8649442
300217;KOTLINA;45.7903767;18.7276081
300225;KOZARAC;45.7205707;18.6755791
300233;LUČ;45.7857182;18.5341526
300241;LUG;45.6692683;18.7868267
300250;PETLOVAC;45.7620813;18.5223271
300268;PODOLJE;45.8201243;18.7340635
300276;POPOVAC;45.808063;18.6628111
300284;SUZA;45.793037;18.7647297
300292;ŠUMARINA;45.7786331;18.5660227
300306;TOPOLJE;45.8716712;18.7262845
300314;TORJANCI;45.7331845;18.3794557
300322;VARDARAC;45.6335112;18.8145343
300349;ZMAJEVAC I;45.7974681;18.8461831
300357;ZMAJEVAC II;45.7090221;18.9529806
300365;BANJEVCI;43.879435;15.6531309
300373;BENKOVAC;44.0481149;15.6124118
300381;BJELINA;44.0458301;15.8165524
300390;BRGUD;44.0408701;15.7494051
300403;BRUŠKA;44.0751483;15.7511554
300411;BUKOVIĆ;44.0382233;15.6411488
300420;CERANJE;43.9760467;15.6069727
300438;DOBROPOLJCI;44.005224;15.803463
300446;DONJA JAGODNJA;43.9914421;15.5240794
300454;DONJE BILJANE;44.1142569;15.4660716
300462;GORNJA JAGODNJA;44.0022686;15.5631001
300489;GORNJE BILJANE;44.1137715;15.5313019
300497;ISLAM GRČKI;44.1538695;15.4614283
300527;KOLARINA;43.9755556;15.6675568
300535;KORLAT;44.0896588;15.5635009
300543;KULA ATLAGIĆ;44.0656874;15.5912191
300551;LEPURI;44.0006823;15.7075508
300560;LISIČIĆ;44.0230675;15.6776119
300578;LIŠANE OSTROVIČKE;43.9772654;15.7529931
300586;NADIN;44.0668206;15.5006576
300594;OSTROVICA;43.9528929;15.7983988
300608;PARČIĆ;44.0771851;15.8450052
300616;PERUŠIĆ;44.0010084;15.6338298
300624;POLAČA;44.0233343;15.5091459
300632;POPOVIĆI;44.0686966;15.6776752
300659;PRISTEG;43.952318;15.6343714
300667;RADAŠINOVCI;43.9191902;15.6349767
300675;RAŠTEVIĆ;44.0449442;15.5422499
300683;SMILČIĆ;44.1257237;15.4971375
300691;STANKOVCI;43.9046311;15.7061695
300705;ŠOPOT;44.0176887;15.5937701
300713;TINJ;44.0197566;15.4760843
300721;VELIM;43.8795627;15.7329108
300730;VUKŠIĆ;43.9357885;15.7329328
300748;BANJ;43.9919132;15.2942085
300756;BIOGRAD NA MORU;43.9544238;15.4758718
300764;DOBROPOLJANA;43.9810754;15.3109146
300772;SVETI FILIP I JAKOV;43.9810977;15.446113
300799;MRLJANE;43.954741;15.3426146
300802;NEVIĐANE;43.9672579;15.3273678
300829;PAKOŠTANE;43.901938;15.5279204
300837;PAŠMAN;43.9386777;15.3711084
300845;RAŠTANE;44.0232334;15.4212788
300853;TKON;43.9032427;15.4203146
300861;TURANJ;43.9958131;15.4106432
300870;VRANA;43.9303553;15.5611553
300888;VRGADA;43.8481808;15.5014382
300896;ŽDRELAC;44.0054071;15.2729845
300900;BAČKOVICA;45.8437488;17.1012627
300918;BEDENIČKA;45.8559788;17.1196781
300926;BEDENIK;45.830757;17.0311181
300934;BJELOVAR;45.9041414;16.8439682
300942;BJELOVAR-SREDICE;45.8820349;16.8238202
300969;NOVE PLAVNICE-HRGOVLJANI;45.9169134;16.8172822
300977;BREZOVAC;45.8699474;16.8461112
300985;CIGLENA;45.8734553;16.9463344
300993;ČAĐAVAC;45.8276568;17.1143845
301019;DAUTAN;45.8268173;16.9263423
301027;DIKLENICA;45.9682531;16.8764824
301035;DRLJANOVAC;45.7980351;16.9866331
301043;GALOVAC;45.8454631;16.863621
301051;GORNJE PLAVNICE;45.9513897;16.8797764
301060;SREDICE GORNJE;46.0368707;16.8258735
301078;KRIŽ GORNJI;46.0467302;16.7699607
301086;GUDOVAC;45.8672883;16.7510635
301094;GORNJE ROVIŠĆE;45.962579;16.7597001
301108;KAKINAC;45.9702238;16.7721096
301116;KAPELA;45.9914444;16.8613977
301124;KLOKOČEVAC;45.9124613;16.7769246
301132;KOBASIČARI;45.9596541;16.8269123
301159;VELIKO KORENOVO;45.856262;16.8069105
301167;KOZAREVAC RAČANSKI;45.7819711;16.9161653
301175;KRALJEVAC;45.9787591;16.7279273
301183;LASOVAC;45.8520071;17.0239927
301191;MALO TROJSTVO;45.9668871;16.9629291
301205;TROJSTVENI MARKOVAC;45.9175007;16.8948311
301213;MEĐURAČA;45.7985352;16.8907773
301221;MOSTI;46.0600399;16.8601906
301230;NEVINAC;45.8158738;16.9087103
301248;NOVA RAČA;45.7980702;16.9491173
301256;OBROVNICA;45.836189;16.8922757
301264;ORLOVAC;45.7480416;16.9506283
301272;OROVAC;45.8807217;16.9799858
301299;PAVLIN KLOŠTAR;46.0110914;16.8055234
301302;PODGORCI;45.9771568;16.7972349
301329;PREDAVAC;45.9357639;16.7867038
301337;PRESPA;45.8604694;16.9182212
301345;PRGOMELJE;45.8836282;16.7409869
301353;PUPELICA;45.883652;17.0557948
301361;RAJIĆ GUDOVAČKI;45.9111301;16.7148418
301370;RAVNEŠ;45.8755208;17.0082193
301388;RIBNJAČKA;45.8837797;17.0852592
301396;ROVIŠĆE;45.9478621;16.7262746
301400;SASOVAC;45.7646939;16.9299891
301418;SEVERIN;45.8410717;16.9660535
301426;SLOVINSKA KOVAČICA;45.7615892;16.9807575
301434;STARE PLAVNICE;45.8923113;16.8014472
301442;ŠANDROVAC;45.9159182;17.0238335
301469;TOMAŠ;45.8916199;16.9182994
301477;VELIKA PISANICA;45.799756;17.0640956
301485;VELIKO TROJSTVO;45.9234094;16.9553587
301493;VIŠNJEVAC;45.9533821;16.9144207
