maticni_broj;naziv;zupanija;izvor
300012;BARANJSKO PETROVO SELO;Osječko-baranjska županija;ime
300039;BATINA;Osječko-baranjska županija;susjedstvo
300047;BELI MANASTIR;Osječko-baranjska županija;ime
300055;BILJE;Osječko-baranjska županija;ime
300063;BOLMAN;Osječko-baranjska županija;ime
300071;BRANJIN VRH;Osječko-baranjska županija;ime
300080;BRANJINA;Osječko-baranjska županija;ime
300098;ČEMINAC;Osječko-baranjska županija;ime
300101;DARDA;Osječko-baranjska županija;ime
300110;DRAŽ;Osječko-baranjska županija;ime
300128;DUBOŠEVICA;Osječko-baranjska županija;ime
300136;GAJIĆ;Osječko-baranjska županija;ime
300144;GRABOVAC;Osječko-baranjska županija;susjedstvo
300152;JAGODNJAK;Osječko-baranjska županija;ime
300179;KAMENAC;Osječko-baranjska županija;ime
300187;KARANAC;Osječko-baranjska županija;ime
300195;KNEŽEVI VINOGRADI;Osječko-baranjska županija;ime
300209;KOPAČEVO;Osječko-baranjska županija;ime
300217;KOTLINA;Osječko-baranjska županija;ime
300225;KOZARAC;Osječko-baranjska županija;susjedstvo
300233;LUČ;Osječko-baranjska županija;ime
300241;LUG;Osječko-baranjska županija;ime
300250;PETLOVAC;Osječko-baranjska županija;ime
300268;PODOLJE;Osječko-baranjska županija;ime
300276;POPOVAC;Osječko-baranjska županija;susjedstvo
300284;SUZA;Osječko-baranjska županija;ime
300292;ŠUMARINA;Osječko-baranjska županija;ime
300306;TOPOLJE;Osječko-baranjska županija;susjedstvo
300314;TORJANCI;Osječko-baranjska županija;ime
300322;VARDARAC;Osječko-baranjska županija;ime
300349;ZMAJEVAC I;Osječko-baranjska županija;ime
300357;ZMAJEVAC II;Osječko-baranjska županija;ime
300365;BANJEVCI;Zadarska županija;ime
300373;BENKOVAC;Zadarska županija;susjedstvo
300381;BJELINA;Zadarska županija;ime
300390;BRGUD;Zadarska županija;ime
300403;BRUŠKA;Zadarska županija;ime
300411;BUKOVIĆ;Zadarska županija;ime
300420;CERANJE;Zadarska županija;susjedstvo
300438;DOBROPOLJCI;Zadarska županija;ime
300446;DONJA JAGODNJA;Zadarska županija;ime
300454;DONJE BILJANE;Zadarska županija;ime
300462;GORNJA JAGODNJA;Zadarska županija;ime
300489;GORNJE BILJANE;Zadarska županija;ime
300497;ISLAM GRČKI;Zadarska županija;ime
