item_key;zupanija;naselje;ko;dokaz;model
nad-60644-fa3c4c7f;Istarska županija;Ližnjan;;naselje Ližnjan (DZS);claude-haiku-4-5
nad-60774-703a7a3c;Zadarska županija;Starigrad;;naselje Starigrad (DZS, ×3) + županija;claude-haiku-4-5
nad-60994-1dd86ca3;Osječko-baranjska županija;Kneževi Vinogradi;;naselje Kneževi Vinogradi (DZS);claude-haiku-4-5
spis-0821eac89dc2379b;Dubrovačko-neretvanska županija;;Komarna - Duboka;k.o. KOMARNA - DUBOKA (DGU 337994);claude-haiku-4-5
spis-1e1b4fe0f46fc700;Sisačko-moslavačka županija;Prelošćica;Prelošćica;k.o. PRELOŠĆICA (DGU 326658);claude-haiku-4-5
spis-2ea1e1e1722e5c8e;Istarska županija;Rovinj;;naselje Rovinj (DZS);claude-haiku-4-5
spis-37df5b5c671ece06;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-3d266e891f03606b;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-3d78c655c64e5d23;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-4075115e6e2f45e7;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-45e3c151d0ab3916;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-48c33d6ca7b19da7;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-4fe38df8d3c7155b;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-609962ed41f2da22;Splitsko-dalmatinska županija;Zagvozd;;naselje Zagvozd (DZS);claude-haiku-4-5
spis-6161533c4d946fff;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-6256e21cae6fcf7d;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-62cef2bcef620395;Splitsko-dalmatinska županija;Kaštel Štafilić;;naselje Kaštel Štafilić (DZS);claude-haiku-4-5
spis-814446c9511cf241;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-8dae4f6dac2c73dc;Zagrebačka županija;Ivanec Bistranski;;naselje Ivanec Bistranski (DZS);claude-haiku-4-5
spis-8dba7d600c5f527f;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-8e2d73efb77bdc68;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-9b0a40284f915113;Dubrovačko-neretvanska županija;;Komarna - Duboka;k.o. KOMARNA - DUBOKA (DGU 337994);claude-haiku-4-5
spis-9b304ba6c3bae839;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-9de9ab99b3756113;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-9f50e2056e7174aa;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-b7427ff17c87fe0b;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-baa6df1cd8fdb244;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-bb653b7d55f70114;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-c7087bba0ba70d4b;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-c7707087d8baa5b4;Sisačko-moslavačka županija;Sisak;;naselje Sisak (DZS);claude-haiku-4-5
spis-de8de4d8e788ac2b;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-fa4bd745844fe2da;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-fa4fb63e6aee2b0d;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-fd19c14c84d142be;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
spis-fd6f03b69d65dec5;Grad Zagreb;Zagreb;;naselje Zagreb (DZS);claude-haiku-4-5
