naselje;grad_opcina;zupanija;stanovnistvo
Ada;Šodolovci;Osječko-baranjska županija;142
Adamovec;;Grad Zagreb;900
Adžamovci;Rešetari;Brodsko-posavska županija;446
Alaginci;Požega;Požeško-slavonska županija;170
Alan;Senj;Ličko-senjska županija;11
Aleksinica;Gospić;Ličko-senjska županija;105
Alilovci;Kaptol;Požeško-slavonska županija;318
Aljmaš;Erdut;Osječko-baranjska županija;481
Amatovci;Brestovac;Požeško-slavonska županija;0
Andigola;Čazma;Bjelovarsko-bilogorska županija;12
Andraševec;Oroslavje;Krapinsko-zagorska županija;838
Andrijaševci;Andrijaševci;Vukovarsko-srijemska županija;1749
Andrijevac;Koška;Osječko-baranjska županija;88
Andrilovec;Dugo Selo;Zagrebačka županija;284
Antenal – Antenal;Novigrad – Cittanova;Istarska županija;129
Antin;Tordinci;Vukovarsko-srijemska županija;602
Antolovec;Legrad;Koprivničko-križevačka županija;52
Antonci;Poreč – Parenzo;Istarska županija;230
Antonci – Antonzi;Grožnjan – Grisignana;Istarska županija;49
Antunovac;Antunovac;Osječko-baranjska županija;2036
Antunovac;Lipik;Požeško-slavonska županija;307
Antunovac;Velika;Požeško-slavonska županija;103
Anžići;Višnjan – Visignano;Istarska županija;52
Apatija;Ludbreg;Varaždinska županija;230
Apatovec;Križevci;Koprivničko-križevačka županija;287
Apševci;Nijemci;Vukovarsko-srijemska županija;203
Arapovac;Slunj;Karlovačka županija;1
Arbanija;Trogir;Splitsko-dalmatinska županija;349
Aržano;Cista Provo;Splitsko-dalmatinska županija;392
Auguštanovec;Pokupsko;Zagrebačka županija;101
Ašikovci;Pleternica;Požeško-slavonska županija;67
Babac;Sveti Filip i Jakov;Zadarska županija;4
Babina Greda;Babina Greda;Vukovarsko-srijemska županija;2762
Babina Rijeka;Donji Kukuruzari;Sisačko-moslavačka županija;90
Babinac;Ivanska;Bjelovarsko-bilogorska županija;118
Babinac;Velika Pisanica;Bjelovarsko-bilogorska županija;219
Babindub;Zadar;Zadarska županija;31
Babinec;Cestica;Varaždinska županija;514
